market_constraint,dayzer_constraint,pano_constraint
BULLRUN 230 KV  BUL-CLIF,BULLRUN_230 KV_BUL-CLIF:L230.Ox-Idylwood.2097,CLIFTON 230KV - BULLRUN 230KV (BULLRUN 230 KV BUL-CLIF) L230.Ox-Idylwood.2097
FORT ZUMWALD TAP - HUSTER 138 KV L/O SIOUX - BELLEAU 345 KV,FTZUM T3_138 KV_30604307:L345.Belleau-Sioux,FTZUM T3 138KV - HUSTER 3 138KV (FTZUM T3 138 KV 30604307) L345.Belleau-Sioux
BIGGRAVE_138KVBIG-GEO1_1_LN,BIGGRAVE_138 KV_BIG-GEO1:L138.Brues-Bethlehem-CountyLine-Sandhill,GEORGEWA 138KV - BIGGRAVE 138KV (BIGGRAVE 138 KV BIG-GEO1) L138.Brues-Bethlehem-CountyLine-Sandhill
WESTWOOD 345/138 BK1 L/O WESTWOOD 345/138 BK2,WESTWOOD_345 KV_1:WESTWOOD #2 345/138KV TRANSFORMER,WESTWOOD 345KV - WESTWOOD 138KV (WESTWOOD 345 KV 1) Westwood 345/138 XF2
BEAVER  138 KV  BEA-NAS1,BEAVER_138 KV_BEA-NAS1:L345.Beaver-DavisBesse,NASA 138KV - BEAVER 138KV (BEAVER 138 KV BEA-NAS1) L345.Beaver-DavisBesse
EDINBUR4 138 KV EDINBUR4 TX3 XFORMER,EDINBUR4_138 KV_TX3:L500.Loudoun-Meadowbrook.5535,EDINBUR4 138KV - EDINBUR4 115KV (EDINBUR4 138 KV TX3) L500.Loudoun-Meadowbrook.5535
37_NATOM_138KV11412_1_LN,37 NATOM_138 KV_11412:ACTUAL,37 NATOM138 KV  11412 345L2219T G Northbrook-Zion & North TR82 SPOG2-10
PRESTON_69KVPRE-TAN_1_LN,PRESTON_69 KV_PRE-TAN:230/138.Vienna.AT20,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN) L230.Steele-Vienna.23085 & 230/138.Vienna.AT20
JACKSNVL138 KV  PAR-JACK,JACKSNVL_138 KV_PAR-JACK:ACTUAL,JACKSNVL 138KV - PARISTAP 138KV (JACKSNVL 138 KV PAR-JACK) L345.Spurlock-NorthClark
PRESTON 69 KV PRESTON-TODD 6716-6,TODD_69 KV_TOD-VNL:L69.Easton-EastonTap-Muni-Longwood-WyeMills.6707,TODD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TOD) L69.Easton-EastonTap-Muni-Longwood-WyeMills.6707
PRGEORGE230 KV  TX1,PRGEORGE_230 KV_TX1:ACTUAL,PRGEORGE 230KV - PRGEORGE 115KV (PRGEORGE 230 KV TX1) L230.Chesterfield-Hopewell.228
NSEAFORD138 KV NSE-SHA,NSEAFORD_138 KV_NSE-SHA:L230.CoolSprings-Milford.23069,SHARRING 138KV - NSEAFORD 138KV (NSEAFORD 138 KV NSE-SHA) L230.CoolSprings-Milford.23069
VIENNA 230 KV VIENNA AT20 TRANSFORMER,VIENNA_230 KV_AT20:L230.CedarCreek-SilverRun.23030,VIENNA 230KV - VIENNA 138KV (VIENNA 230 KV AT20) L230.CedarCreek-SilverRun.23030
OLIVE   345 KV  OLI-OLIV,OLIVE_345 KV_OLI-OLIV:L765.Collins - Plano.2315,OLIVUNPA 345KV - OLIVE 345KV (OLIVE 345 KV OLI-OLIV) L765.Collins - Plano.2315
JUNIATA 230 KV JUNIATA-LEWISTOW LJ 2015,JUNIATA_230 KV_JUN-LEW:L500.Conastone-PeachBottom.5012,JUNIATA 230KV - LEWISTOW 230KV (JUNIATA 230 KV JUN-LEW) L500.Conastone-PeachBottom.5012
KINGSCRK 69 KV KINGSCRK-WOVERDPL 6725-1,KINGSCRK_69 KV_KIN-WOR:ACTUAL,KINGSTON-WOVERDPL 6725-2    A  69 KV BASE
SIEGFRIE 230 KV SIEGFRIE 5 XFORMER,SIEGFRIE_230 KV_5:500/138.Wescosville.T3,SIEGFRIE 230KV - SIEGFRIE 138KV (SIEGFRIE 230 KV 5) 500/138.Wescosville.T3
PAYNE   69 KV   XF1,PAYNE_69 KV_XF1:ACTUAL,PAYNE 34.5KV - PAYNE 69KV (PAYNE 69 KV XF1) BASE
DOEX530 345 KV  DOE-PIE1,DOEX530_345 KV_DOE-PIE1:L345.KygerCreek-Marquis,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE1) L345.KygerCreek-Marquis
BRAMBLET230 KV  BRA-EVRG,BRAMBLET_230 KV_BRA-EVRG:L230.Beaumeade-DTC.2143,BRAMBLET 230KV - EVRGREEN 230KV (BRAMBLET 230 KV BRA-EVRG) L230.Beaumeade-DTC.2143
SAXTON-THREESPR 2K 1062 A 115 KV,SAXTON_115 KV_SAX-THR:L500.Juniata-Keystone.5004,SAXTON-THREESPR 2K 1062     A  115 KV L500.Brighton-Conastone
115 BEDF138 KV  5103 7,115 BEDF_138 KV_5103 7:ACTUAL,115 BEDF 138KV - 5103 138KV (115 BEDF 138 KV 5103 7) BASE
GOUDEY 115 KV GOUDEY-LAURLAKE115 KVTIE,GOUDEY_115 KV_GOU-LAU:L500.Hopatcong-Lackawanna.5063,GOUDEY  115 KV  GOU-LAU L500.Hopatcong-Lackawanna.5063
STATELINE TR82 XF 345/138KV L/O BURNHAM-CALUMET-TAYLOR 345KV,7 STATE_345 KV_TR82CT:L345.177 Burnham-150 Calumet-153 Taylor.17724,7 STATE 345KV - 7 STATE 138KV (7 STATE 345 KV TR82CT) L345.177 Burnham-150 Calumet-153 Taylor.17724
LABADIE - GRAY - SUMMIT 2 345 KV L/O LABADIE - WILDWOOD -MASON 345 KV,GRAYSUM3_345 KV_GRA-LABA:Labadie - Wildwood - Mason 345 kV,LABADIE3 345KV - GRAYSUM3 345KV (GRAYSUM3 345 KV GRA-LABA) Labadie - Wildwood - Mason 345 kV
GILBERT 115 KV  GIL-GLEN,GILBERT_115 KV_GIL-GLEN:L230.MartinsCreek-MorrisPark-Gilbert.P-2016,GLENDON 115KV - GILBERT 115KV (GILBERT 115 KV GIL-GLEN) L230.MartinsCreek-MorrisPark-Gilbert.P-2016 w/LX
SKIMMER 115 KV SKIMMER 2 XFORMER,SKIMMER_115 KV_2:L138.NewLondon-Johnsonm-Otter-Altavista,SKIMMER 115KV - SKIMMER 69KV (SKIMMER 115 KV 2) L138.NewLondon-Johnsonm-Otter-Altavista
CARL PN-ROXBURY KRG 1049 B 115 KV,CARL PN_115 KV_CAR-ROX:500/230.Hunterstown.T1,CARL PN-ROXBURY KRG 1049    B  115 KV L115.MiddletownJct-Collins (Sctnlz)
ELECTRIC JUNCTION TR81 345/138KV L/O ELECTRIC JCT 345 KV-LOMBARD 11124 345KV,143 WOLF_138 KV_TR81CT-S:345L11124 Electric Jct-Lombard 345 kV Line,111 ELEC138 KV  TR81CT-S 345L11124 Electric Jct-Lombard 345 kV Line
MONROE - BROWNSTONE1 345 L/O MONROE - WAYNE 345,BAYSHOR2_345 KV_1:L345.Monroe-Wayne(DET),LINE    345 KV  Monroe-Wayne 345 l/o Monroe-Brownstown 1 345 FG LINE    345 KV  BRO-MON1CMPLINE DUMMY
BAGLEY  230 KV  BAG-RAP5,BAGLEY_230 KV_BAG-RAP5:500/230.WaughChapel.500-4,BAGLEY 230KV - RAPHAERD 230KV (BAGLEY 230 KV BAG-RAP5) 500/230.WaughChapel.500-1
CONCRDDP69 KV CON-LAU,CONCRDDP_69 KV_CON-LAU:L69.CoolSprings-Harbeson.6753,LAURELDP 69KV - CONCRDDP 69KV (CONCRDDP 69 KV CON-LAU) L69.CoolSprings-Harbeson.6753
CARL PN-ROXBURY KRG 1049 B 115 KV,CARL PN_115 KV_CAR-ROX:Hunterstown-TexasEastern-Gardners (991) 115 kV lin,ROXBURY 115KV - CARL PN 115KV (CARL PN 115 KV CAR-ROX) Hunterstown-TexasEastern-Gardners (991) 115 kV lin
103 LISL138 KV  10319 1,103 LISL_138 KV_10319 1:ACTUAL,103 LISL 138KV - 559 WOOD 138KV (103 LISL 138 KV 10319 1) BASE
3ROCKY 115 KV 3ROCKY -BATTLEBO 123A,3ROCKY_115 KV_123A:ACTUAL,3ROCKY 115KV - BATTLEBO 115KV (3ROCKY 115 KV 123A) L230.Hathaway-Hornertown.2056
63 SAWYE138 KV  1324 1,63 SAWYE_138 KV_1324 1:ACTUAL,63 SAWYE 138KV - 13 CRAWF 138KV (63 SAWYE 138 KV 1324 1) BASE
116 GOOD-900 ELWO 11622    B  345 KV,116 GOOD_345 KV_11622:L345.GoodingsGrove-Elwood.11620,900 ELWO 345KV - 116 GOOD 345KV (116 GOOD 345 KV 11622) L345.GoodingsGrove-Elwood.11620
BAGLEY  230 KV  BAG-RAP5,BAGLEY_230 KV_BAG-RAP5:L230.BrandonShores-WaughChapel.2343,BAGLEY 230KV - RAPHAERD 230KV (BAGLEY 230 KV BAG-RAP5) L230.BrandonShores-WaughChapel.2343
HAVILAND69 KV   HAV-LAT,HAVILAND_69 KV_HAV-LAT:ACTUAL,LATTYJCT 69KV - HAVILAND 69KV (HAVILAND 69 KV HAV-LAT) BASE
NAMPTON 138 KV  NHA-SIE2,NAMPTON_138 KV_NHA-SIE2:ACTUAL,SIEGFRIE 138KV - NAMPTON 138KV (NAMPTON 138 KV NHA-SIE2) BASE
MEHOOPAN115 KV  MEH-NME1,MEHOOPAN_115 KV_MEH-NME1:230/115.NorthMeshoppen.T3,MEHOOPAN 115KV - NMESHOPP 115KV (MEHOOPAN 115 KV MEH-NME1) 230/115.NorthMeshoppen.T3
HILLSDAL 230 KV HILLSDAL-NEWMILFR V-2222,HILLSDAL_230 KV_HIL-NEW:L500.Hopatcong-Ramapo.5018,NEWMILFR 230KV - HILLSDAL 230KV (HILLSDAL 230 KV HIL-NEW) L500.Hopatcong-Ramapo.5018
BENSONDP115 KV  BEN-COOL,BENSONDP_115 KV_BEN-COOL:ACTUAL,COOLSPR 115KV - BENSONDP 115KV (BENSONDP 115 KV BEN-COOL) L230.Chinquapin-Everetts.2160
HARWGATE 115 KV HARWGATE-LOCKS 100J,HARWGATE_115 KV_100J:L500.Morrisville-Spotsylvania.594,LOCKS 115KV - HARWGATE 115KV (HARWGATE 115 KV 100J) L500.Morrisville-Spotsylvania.594
CANTONCE 138 KV CANTONCE-CLOVEROE,CANTONCE_138 KV_CAN-CLO1:DTX138.Sunnyside.T5 & T6,CANTONCE 138KV - CLOVEROE 138KV (CANTONCE 138 KV CAN-CLO1) DTX138.Sunnyside.T5 & T6 + LX.Torrey&Sunnyside
HIGHLAOE138 KV  HIG-COM1,HIGHLAOE_138 KV_HIG-COM1:DBL:Hanna-Highland 345kv + Sammis-Wellsville 345kv,HIGHLAOE 138KV - COMERC 138KV (HIGHLAOE 138 KV HIG-COM1) DBL:Hanna-Highland 345kv + Sammis-Wellsville 345kv
0906 138 KV 0906 LINE 38L0906 2,0906_138 KV_0906 2:ACTUAL,0906    138 KV  0906 2 138L1808 Will Co-1808-Goodings Grove 138 kV Line
CHALKPT 230 KV  T2,CHALKPT_230 KV_T2:ACTUAL,CHALKPT 230KV - CHALKPT 69KV (CHALKPT 230 KV T2) 230/69.ChalkPoint.T1.T3
FARMERSV-RIDG PN RV 1048 A 115 KV,RIDG PN_115 KV_RID-WHE:L230.Forest-SquabHollow + SPS.Warren,RIDG PN 115KV - FARMERSV 115KV (FARMERSV 115 KV FAR-RID) BASE
AQUAHAR 230 KV  2119,AQUAHAR_230 KV_AQU-GAR1:L500.Midlothian-NorthAnna.576,AQUAHAR -GARRSNV  2119      A  230 KV L500.Midlothian-NorthAnna.576
OCRAN   115 KV  65A1,OCRAN_115 KV_65A1:L230.Fredericksburg-Birchwood.2083,WHITESTN 115KV - OCRAN 115KV (OCRAN 115 KV 65A1) L230.Fredericksburg-Birchwood.2083
HAYES_FE138 KV  AVE-HAYE,HAYES_FE_138 KV_AVE-HAYE:L345.Beaver-DavisBesse,HAYES_FE 138KV - AVERY 138KV (HAYES_FE 138 KV AVE-HAYE) L345.Beaver-Hayes
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,ALLDAM6_138 KV_ALL-KIT:L500.Cabot-Keystone.5002,ALLDAM6-KITTANNI SP-KT      A  138 KV MAXCR: 500/230.Keystone.T3+U1+U2+5001+02+03+04
CHARLERO138 KV  CHA-YUK,CHARLERO_138 KV_CHA-YUK:L500.Cabot-Cranberry,YUKON 138KV - CHARLERO 138KV (CHARLERO 138 KV CHA-YUK) L500.Cabot-Cranberry
PLUM    138 KV  PLU-UNI,PLUM_138 KV_PLU-UNI:ACTUAL,PLUM 138KV - UNIVERSA 138KV (PLUM 138 KV PLU-UNI) L138.PittsburghMills-Springdale
GRANDPT 138 KV GRANDPT-GUILFORD,GRANDPT_138 KV_GRA-GUI:L500.Bedington-Doubs,GUILFORD 138KV - GRANDPT 138KV (GRANDPT 138 KV GRA-GUI) L500.Bedington-Doubs
LENOX 115 KV LENOX-NMESHOPP NML 1090,LENOX_115 KV_LEN-NME:NineMile.U2 (NYISO),LENOX-NMESHOPP NML 1090     B  115 KV L345.HomerCity-Watercure [NYISO]
KYGERCRE345 KV  KYG-DOE3,KYGERCRE_345 KV_KYG-DOE3:L765.DonMarquis-HangingRock,KYGERCRE 345KV - DOEX530 345KV (KYGERCRE 345 KV KYG-DOE3) L765.DonMarquis-HangingRock
LAUREL 69 KV LAUREL-WOODSTOW 0740,LAUREL_69 KV_LAU-WOO:L230.Cumberland-Orchard.2314,WOODSTOW 69KV - LAUREL 69KV (LAUREL 69 KV LAU-WOO) L230.Cumberland-Orchard.2314
MADDOXCR345 KV  ELI-MAD,MADDOXCR_345 KV_ELI-MAD:L765.Marysville-Sorenson,MADDOXCR 345KV - ELIMA 345KV (MADDOXCR 345 KV ELI-MAD) L765.Marysville-Sorenson
15002 138 KV 15002 B,15002_138 KV_15002 B:ACTUAL,955 RIVE 138KV - 15002 138KV (15002 138 KV 15002 B) BASE
DOEX530 345 KV  DOE-PIE2,DOEX530_345 KV_DOE-PIE2:L345.OhioCentral-MuskingumRiver,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE2) L345.OhioCentral-MuskingumRiver
DUNEACRE - MICHIGAN CITY 13843 138 KV L/O BURR OAK - HINSHAW 345 KV 34540,DUNEACRE_138 KV_DUN-MIC1:Dune Acre-Michigan City #2,DUNEACRE 138KV - MICHIGA2 138KV (DUNEACRE 138 KV DUN-MIC1) Burr Oak - Hinshaw 345kV
FEAGANSM 138 KV FEAGANSM-STONEWAL STM1,FEAGANSM_138 KV_FEA-STO:L500.Bedington-Black Oak,STONEWAL 138KV - FEAGANSM 138KV (FEAGANSM 138 KV FEA-STO) L500.Bedington-BlackOak
EPALMERT_230KVEPA-HAR_1_LN,EPALMERT_230 KV_EPA-HAR:L230.Columbia-Montour+230/69.Columbia.T2,HARWOOD 230KV - EPALMERT 230KV (EPALMERT 230 KV EPA-HAR) L230.Columbia-Montour+230/69.Columbia.T2
NEWLONDON-KOKOMOHP 230 L/O NEWLONDON-WEBSTER 230,KOKOMOPS_230 KV_KOK-NEW1:Webster - New London 230 kV,NEWLONDN 230KV - KOKOMOPS 230KV (KOKOMOPS 230 KV KOK-NEW1) Webster - New London 230 kV
OX4 500 KV OX4 TX2 XFORMER,HAYFIEL4_230 KV_241A:L500.Clifton-Ox.561+500/230.Clifton.TX2,OX4 230KV - GALLWSRD 230KV (OX4 230 KV 2097B) L500.Clifton-Ox.561+500/230.Clifton.TX2
FIVEFORK 115 KV FIVEFORK-ROCKRIDG 110511,FIVEFORK_115 KV_FIV-ROC1:L500.Brighton-Conastone,FIVEFORK-ROCKRIDG 110511    A  115 KV L500.Brighton-Conastone
NEWCARLI 138 KV NEWCARLI-MAPLNIPS TIE,NEWCARLI_138 KV_NEW-MAP2:345/138.Olive.T2(Sctnlz),MAPLNIPS 138KV - NEWCARLI 138KV (NEWCARLI 138 KV NEW-MAP2) 345/138.Olive.T2
BRANDONS 230 KV BRANDONS-WAUGHCHA 2342,HOWARD_230 KV_HOW-PUM:L230.WaughChapel-BrandonShores.2342,WAUGHCHA 230KV - BRANDONS 230KV (BRANDONS 230 KV BRA-WAU3) L230.WaughChapel-BrandonShores.2342
HEBRON 69 KV HEBRON-MARDELA 6708-2,HEBRON_69 KV_HEB-ROC:L138.Loretto-Vienna.13780,MARDELA-VIENNA 6708-1       A  69 KV L138.Loretto-Vienna.13780
N_LND10469 KV   NLN-NLON,N_LND104_69 KV_NLN-NLON:ACTUAL,N_LND104 69KV - N_LONDON 69KV (N_LND104 69 KV NLN-NLON) BASE
11 FISK 138 KV  TR75R 12,11 FISK_138 KV_TR75R 12:L138.Jefferson-Fisk.4523,11 FISK 138KV - 11 FISK 12KV (11 FISK 138 KV TR75R 12) L138.Jefferson-Fisk.4523
JOHNSONM-OTTER B 138 KV,JOHNSONM_138 KV_JOH-OTT1:L765.Cloverdale-JoshuaFalls,OTTER 138KV - JOHNSONM 138KV (JOHNSONM 138 KV JOH-OTT1) L765.Cloverdale-JoshuaFalls
PHILIPSB 115 KV PHILIPSBG-SHAWVILL SF 1079,PHILIPSB_115 KV_PHI-SHA:ACTUAL,PHILIPSB 115KV - SHAWVILL 115KV (PHILIPSB 115 KV PHI-SHA) BASE
SALTSPRG 138 KV SALTSPRG-MASURY,MASURY_138 KV_MAS-MAY1:L500.Cranberry-WylieRidge,SALTSPRG 138KV - MASURY 138KV (SALTSPRG 138 KV SAL-MAS1) L500.Cranberry-WylieRidge
SIEGFRIE 230 KV SIEGFRIE 5 XFORMER,SIEGFRIE_230 KV_5:L230.Hosensack-Wescosville + 230/138.Wescosvlle.T5,SIEGFRIE 230KV - SIEGFRIE 138KV (SIEGFRIE 230 KV 5) L230.Hosensack-Wescosville + 230/138.Wescosvlle.T5
EDISON2 138 KV  EDI-OLI1,EDISON2_138 KV_EDI-OLI1:ACTUAL,OLIVE 138KV - EDISON2 138KV (EDISON2 138 KV EDI-OLI1) RAS.L765.Jefferson-Rockport + Rockport.U1
LOUDOUN4 500 KV LOUDOUN4 TX1 XFORMER,WMORELN4_230 KV_TX1:L500.Loudoun-Mosby.502A,WMORELN4 230KV - WMORELN4 35KV (WMORELN4 230 KV TX1) L500.Loudoun-Mosby.502A
POWERTON-TOWERLINE 138 KV L/O ROCK FALL-SCHAUFF ROAD 138 KV,81 TOULO_138 KV_0321X:L138.133RockFall-187SchauffRoad.18702,3 POWERT 138KV - TWRL 138KV (3 POWERT 138 KV POW-TWRL) L138.133RockFall-187SchauffRoad.18702
EDISON2 138 KV  EDI-GRA,EDISON2_138 KV_EDI-OLI1:L765.Dumont-Sorenson,EDISON2 138 KV  EDI-GRA L765.Dumont-Sorenson
MIAMIFOR 345 KV MIAMIFOR 10 XFORMER,MIAMIFOR_345 KV_10:ACTUAL,MIAMIFOR345 KV  10 L345.East Bend-Terminal
SEWARD 115 KV SEWARD-TOWER51 H1H2 1097,SEWARD_115 KV_SEW-TOW:L500.Conemaugh-Keystone.5003,SEWARD 115KV - TOWER51 115KV (SEWARD 115 KV SEW-TOW) L500.Conemaugh-Keystone.5003
PENNTECH_T1_115115_13_XF,PENNTECH_115 KV_115_13:ACTUAL,PENNTECH 13.8KV - PENNTECH 115KV (PENNTECH 115 KV 115_13) BASE
TANNERSC-DEARBORN1 TIE A 345 KV,TANNERSC_345 KV_TAN-MIA1:L345.TannersCreek-EastBend,TANNERSC 345KV - DEARBORN 345KV (TANNERSC 345 KV TAN-DEA1) L345.TannersCreek-MiamiFort
EAGLEVAL115 KV  EAG-PHI,EAGLEVAL_115 KV_EAG-PHI:ACTUAL,EAGLEVAL 115KV - PHILIPSB 115KV (EAGLEVAL 115 KV EAG-PHI) BASE
CHALKPT 500 KV CHALKPT 500-5T XFORMER,CHALKPT_500 KV_500-6T:500/230.ChalkPoint.T5,CHALKPT 500KV - CHALKPT 230KV (CHALKPT 500 KV 500-5T) 500/230.ChalkPoint.T6
BRIERY 230 KV BRIERY -CLOVER 235A1,EDANVILL_230 KV_EDA-ROX1:L500.Carson-RogersRoad.585,BRIERY  230 KV  235A1 L500.Carson-RogersRoad.585
02LYONS_138KV02L-SILI_1_LN,02LYONS_138 KV_02L-SILI:ACTUAL,SILICATP 138KV - 02LYONS 138KV (02LYONS 138 KV 02L-SILI) BASE
HINCHMAN 230 KV HINCHMAN-JACK PS M-2239,HINCHMAN_230 KV_HIN-JAC:ACTUAL,JACK PS 230KV - HINCHMAN 230KV (HINCHMAN 230 KV HIN-JAC) SandyPond.DC.Tie (NEISO) + LX.PratJct
EDELPHOS69 KV   EDE-NDE,EDELPHOS_69 KV_EDE-NDE:L345.EastLima-MaddoxCreek,NDELPHOS 69KV - EDELPHOS 69KV (EDELPHOS 69 KV EDE-NDE) L345.EastLima-MaddoxCreek
MONTGOMERY-LABADIE 4 345 KV L/O BELLEAU-MONTGOMERY 345 KV,LABADIE3_345 KV_30886312:ENONTP 345-ENON 345 1-BELLEAU 345-MONTGMRY 345 1,MONTGMR3 345KV - LABADIE3 345KV (LABADIE3 345 KV 30886312) ENONTP 345-ENON 345 1-BELLEAU 345-MONTGMRY 345 1
MAHANSLA 138 KV MAHANS LANE-TIDD,TIDD_AEP_138 KV_B-S:L345.Tidd-Collier.301,TIDD_AEP 138KV - MAHANSLA 138KV (MAHANSLA 138 KV MAH-TID) L345.Tidd-Collier.301
COLUMBIA 138 KV COLUMBIA-NORTHEA2,COLUMBIA_138 KV_COL-NOR1:L765.Dumont-Sorenson,NORTHEA2 138KV - COLUMBIA 138KV (COLUMBIA 138 KV COL-NOR1) L765.Dumont-Sorenson
MAPLEOE_138KVMAP-ZEL_1_LN,MAPLEOE_138 KV_MAP-ZEL:L500.Cabot-Cranberry,MAPLEOE 138KV - ZELIENOP 138KV (MAPLEOE 138 KV MAP-ZEL) L500.Cabot-Cranberry
CANTONCE345 KV  TR1,CANTONCE_345 KV_TR1:L345.CantonCentral-SouthCanton,CANTONCE 345KV - CANTONCE 138KV (CANTONCE 345 KV TR1) L345.CantonCentral-SouthCanton
SHEFFIELD - CALUMET 138KV L/O WILTON CENTER - DUMONT 765 KV,17ROXANA_138 KV_17R-PRA1:Wilton Center-Dumont 765kV + Sheffield-Gary Ave 34,LINE    138 KV  Wolf Lake-Sheffield 138 kV l/o Dumont-Wilton Center 765 kV FG LINE    765 KV  DUM-WIL1CMPLINE DUMMY
BURMA_115KVBUR-PIN_1_LN,BURMA_115 KV_BUR-PIN:L230.Glade-Warren.2088,BURMA 115KV - PINEY 115KV (BURMA 115 KV BUR-PIN) L230.Glade-Warren.2088
HAYES_FE138 KV  AVE-HAYE,HAYES_FE_138 KV_AVE-HAYE:ACTUAL,HAYES_FE 138KV - AVERY 138KV (HAYES_FE 138 KV AVE-HAYE) L345.Beaver-Hayes
112 WILT 765 KV 112 WILTON 65TR93 CT,112 WILT_765 KV_TR93CT-P:L765.Collins - Plano.2315,112 WILT 1KV - 112 WILT 765KV (112 WILT 765 KV TR93CT-P) L765.Collins - Plano.2315
CHALKPT 500 KV CHALKPT 500-6T XFORMER,CHALKPT_500 KV_500-5T:L500.BurchesHill-Cheltenham.5071,CHALKPT 500KV - CHALKPT 230KV (CHALKPT 500 KV 500-6T) L500.BurchesHill-Cheltenham.5071
ASHBURN 230 KV  227A,PLEASNTV_230 KV_274D:L500.Brambleton-GooseCreek.558,ASHBURN-COCHRANM 227A       B  230 KV L500.Brambleton-GooseCreek.558
KEYSTONE 230 KV KEYSTONE-SHELOCTA KHC 2014,SHELOCTA_230 KV_NO2:L500.SouthBend-Yukon,KEYSTONE-SHELOCTA KHC 2014  A  230 KV L500.Juniata-Keystone.5004
FRACKVIL 230 KV FRACKVIL-SIEGFRIE,FRACKVIL230 KV FRA-SIE JUNIATA-SUNBURY (5046) 500KV LINE,FRACKVIL 230KV - SIEGFRIE 230KV (FRACKVIL 230 KV FRA-SIE) L500.Juniata-Sunbury.5046
JACK ME 115 KV JACK ME-MENGES 994-1,JACK ME_115 KV_JAC-NHA:TEMP L115.Menges-PH.Glatfelter.994,JACK ME 115KV - MENGES 115KV (JACK ME 115 KV JAC-MEN) 230/115.Hunterstown.TR2
FALLS 138 KV FALLS -STEELTAP FAL-STE,FALLS_138 KV_FAL-STE:L230.Croydon-Burlington.D-220-30,FALLS 138KV - STEELTAP 138KV (FALLS 138 KV FAL-STE) L230.Croydon-Burlington.D-220-30
BAGLEY 230 KV BAGLEY -RAPHAERD BAG-RAP,BAGLEY_230 KV_BAG-RAP:L230.Graceton-Bagley-RaphaelRoad.2305,BAGLEY 230KV - RAPHAERD 230KV (BAGLEY 230 KV BAG-RAP) L230.Graceton-Bagley-RaphaelRoad.2305
ETOWANDA 230 KV ETOWANDA-HILLSIDE 2002 TIE,ETOWANDA_230 KV_ETO-HIL:L230.Lackawanna-Oxbow-NMeshoppen (Sctnlz F),ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL) L230.Lackawanna-Oxbow-NMeshoppen (Sctnlz F)
GLASGOW 138 KV  GLA-KEE,GLASGOW_138 KV_GLA-KEE:L138.LumsPond-Reybold.13841,KEENEY 138KV - GLASGOW 138KV (GLASGOW 138 KV GLA-KEE) DTX138.LumsPond.T1
KOKOMO-TIPTON 230 L/O NUCOR-CAYUGA 345,KOKOMOPS_230 KV_KOK-TIP:L345.Cayuga-Nucor (CIN),KOKOMOPS 230KV - TIPTON W 230KV (KOKOMOPS 230 KV KOK-TIP) L345.Cayuga-Nucor (CIN)
N COULTERVILLE 138/230 XFMR FLO W FRANKFORT-E MT VERNON 345,E W FKF3_138 KV_EWF-JORD:Mt Vernon-EWFKF3 345 kV,N Coulterville 138/230 Xfmr flo W Frankfort-E Mt Vernon 345 Mt Vernon-EWFKF3 345 kV
OAKGREEN115 KV 11D,OAKGREEN_115 KV_11D:L500.Morrisville-Spotsylvania.594,ORANGE 115KV - OAKGREEN 115KV (OAKGREEN 115 KV 11D) L500.Morrisville-Spotsylvania.594
CRESCENT RIDGE - 7713 138 KV L/O HENNEPIN - EKS TAP3 - HKOK 1556 138 KV,BEAV DUQ_345 KV_1_3TIE:Crescent (DUQ) 345/138 KV #2 TRANSFORMER,Crescent Ridge - 7713 138 kV l/o Hennepin - EKS Tap3 - HKOK 1556 138 kV L138.Hennepin-EKS Tap3-HKOK.1556
SMITHTON 138 KV SMITHTON-YUKON SLJ-YU,SMITHTON_138 KV_SMI-YUK2:L500.502Junction-NorthLongview,YUKON 138KV - SMITHTON 138KV (SMITHTON 138 KV SMI-YUK2) L500.502Junction-NorthLongview
BED-BLA CONTINGENCY 28,BED-BLA contingency 28 L500.Bismark-Doubs,BED-BLA contingency 28 L500.Bismark-Doubs
DESOTO  138 KV  DES-SEL,DESOTO_138 KV_DES-SEL:L765.Flatlick-Marysville,DESOTO 138KV - SELMAPAR 138KV (DESOTO 138 KV DES-SEL) L765.Flatlick-Marysville
DUPSEAFD-LAURELDP 6736 B 69 KV,DUPSEAFD_69 KV_DUP-LAU:230/138.PineyGrove.AT20+L230.PinyGrve-IndinR.23002,DUPSEAFD-LAURELDP 6736      A  69 KV 230/138.Vienna.AT20
EWAYNESB 138 KV EWAYNESB-RINGGOLD RWA1,EWAYNESB_138 KV_EWA-RIN:L500.Bedington-BlackOak,EWAYNESB-RINGGOLD RWA1      B  138 KV L138.Bedington-Harmony Jct-Marlowe-Cherry Run
MITCHELL 138 KV MITCHELL-SHEPLJCT MI-SLJ,SHEPLJCT_138 KV_SHE-SMI:L500.Cabot-Keystone.5002,SHEPLJCT-SMITHTON SLJ-YU    B  138 KV L500.Cabot-Keystone.5002
